PASSENGERID,AREA_CODE,SERVICETYPE,NEIGHBOURHOODID,ACTUALDATETIME,PREVIOUSDATE,DATEDIFFERENCE,PRICECHECKFLAG,PICKUPLAT,PICKUPLONG,DESTLAT,DESTLONG,PICKUPGEOHASH,DESTGEOHASH,UNIQUEID,SERVICEFILTER,MINIMUMFARE,MAXIMUMFARE,VAT,VALUE,DISCOUNT,SURGEMULTIPLIER,SURCHARGE,RN,DISTANCE,DURATION,TRACEID,CUSTOMERSEGMENT,DISCRIMINATIONMULTIPLIER,ACTUALDISCRIMINATIONMULTIPLIER,PRICEDISCRIMINATIONENABLED,USERMETPDCRITERIA,ACTUALDATE,BASEFARE,FACTORDRIVER,DRIVERPRICE,PAYOUTENABLEDDRIVER,ADJUSTFAREDIFFERENCEDRIVER,PRICECHECKSUNIQUEID,RIDEID,PD_GROUP,REQUESTED,ACCEPTED,BOARDED,RANDOMISATION_BASESURGE,RANDOMISATION_BUCKETID,RANDOMISATION_FINALSURGE,RANDOMISATION_ISRANDOMISED,RANDOMISATION_RANDOMOFFSET,ISELIGIBLECASHRIDE,PASSENGERWALLETBALANCE,PICKUPAREACODE,DESTAREACODE
6a47b1b4561e146b480ca856,RUH,smart,6891b6515cbf304401265966,2026-07-03 15:58:31.520,2026-07-03 15:58:31.520,0,1,24.591272,46.598653,24.5376177,46.6899221,th35uk,th35w6,20260703155831520,ecolite,20.45,20.45,0.58,20.45,,0.9,0,11,14.713,21.533333333,15121843-52da-4987-a7b7-f00f6fa378ce,Group A,0.90,0.90,TRUE,TRUE,2026-07-03,21.96,,,TRUE,TRUE,15121843-52da-4987-a7b7-f00f6fa378ce1783094311520,6a47b21f7ae76b85a3f578b6,A,2026-07-03 15:59:11.234,2026-07-03 15:59:14.660,2026-07-03 16:07:39.242,0.9,,0.9,FALSE,0,TRUE,0,RUH,RUH
6a47cc95b8046b399605d77f,RUH,smart,6891b65132cc9ec573100d04,2026-07-03 17:53:47.356,2026-07-03 17:53:47.356,0,0,24.80611,46.704522,24.778897,46.831555,th3jng,th3kcw,20260703175347356,ecolite,26.6,26.6,0.58,26.6,,0.9,0,10,22.012,22.116666667,D70BFD20-FE21-487A-8E59-827535DA76CC,Group A,0.90,0.90,TRUE,TRUE,2026-07-03,28.55,,,TRUE,TRUE,D70BFD20-FE21-487A-8E59-827535DA76CC1783101227356,6a47cd09c22d83bd74e26888,A,2026-07-03 17:54:01.900,2026-07-03 17:54:12.289,2026-07-03 18:04:08.587,0.9,,0.9,FALSE,0,TRUE,0,RUH,RUH
6a47db58fc5fa530bc0d2ef3,RUH,smart,6891b651cd50e22cba5d56dd,2026-07-03 18:56:11.537,2026-07-03 18:56:11.537,0,1,24.497754,46.764639,24.689255,46.65351,th3725,th3hmw,20260703185611537,ecolite,45.24,45.24,0.58,45.24,,0.9,3.93,10,33.882,65.15,35be675d-d972-426b-a21e-8667641557d7,Group A,0.90,0.90,TRUE,TRUE,2026-07-03,48.57,,,TRUE,TRUE,35be675d-d972-426b-a21e-8667641557d71783104971537,6a47dbc2c22d83bd74f0b42a,A,2026-07-03 18:56:50.786,2026-07-03 18:57:00.111,2026-07-03 19:16:18.335,0.9,,0.9,FALSE,0,TRUE,0,RUH,RUH
6a498e7ce9134cef660d38ea,RUH,smart,6891b6505eb33f45c82f0705,2026-07-05 01:52:44.122,2026-07-05 01:52:44.122,0,0,24.696776,46.684035,24.911793,46.603239,th3hqr,th3jsr,20260705015244122,ecolite,34.94,34.94,0.58,34.94,,1,0,10,28.799,27.6,83CD7E2F-4349-4DFB-B6AB-320BBB6B61CC,Group A,0.90,0.90,TRUE,TRUE,2026-07-05,33.75,,,TRUE,TRUE,83CD7E2F-4349-4DFB-B6AB-320BBB6B61CC1783216364122,6a498ec27ef6256af79d9560,A,2026-07-05 01:52:50.057,2026-07-05 01:53:02.616,2026-07-05 02:08:27.900,1,,1,FALSE,0,TRUE,0,RUH,RUH
6a535ec22a32114ed90c37a9,ZRQ,economy,68877a86e5e726aaf963973a,2026-07-14 15:53:05.285,2026-07-14 15:53:05.285,0,0,32.091978,36.061702,32.050046,36.070642,sv9wsd,sv9wkf,20260714155305285,UltraEconomy,1.08,2.08,0,2.08,,1,0,1,5.929,11.933333333,799cf73d-88ef-4724-9828-6d717ca143b2,Group A,0.90,0.90,TRUE,TRUE,2026-07-14,2.31,,,TRUE,TRUE,799cf73d-88ef-4724-9828-6d717ca143b21784044385285,6a563136c3c2a38be2b6c9de,A,2026-07-14 15:53:10.630,2026-07-14 15:53:19.278,2026-07-14 15:59:49.548,1,,1,FALSE,0,TRUE,0,ZRQ,ZRQ
6a561b1455677a6b1b0f81c1,ZRQ,economy,68877a872e61b928b33a592c,2026-07-14 18:42:10.202,2026-07-14 18:42:10.202,0,1,32.074078,36.086119,32.068314,36.096256,sv9wmn,sv9wmm,20260714184210202,UltraEconomy,1.08,1.08,0,1.08,,1,0,2,1.558,5.966666667,d439d9a4-bb9e-434c-b98a-166755f6ee32,Group A,0.90,0.90,TRUE,TRUE,2026-07-14,1.2,,,TRUE,TRUE,d439d9a4-bb9e-434c-b98a-166755f6ee321784054530202,6a5658e0c3c2a38be2db104a,A,2026-07-14 18:42:24.643,2026-07-14 18:42:39.898,2026-07-14 18:49:21.162,1,,1,FALSE,0,TRUE,0,ZRQ,ZRQ
6a578e8baf8ac9d6db0d11ea,ZRQ,economy,68877a86c49e1079ab408b88,2026-07-15 16:45:56.653,1899-12-31 23:59:08.000,66552232,1,32.030399,36.061942,32.01274,36.028705,sv9whw,sv9w5g,20260715164556653,UltraEconomy,1.08,2.58,0,2.58,,1,0,1,7.704,12.266666667,a50dfab7-d570-4af0-be7f-93fe5c15acc7,Group A,0.90,0.90,TRUE,TRUE,2026-07-15,2.87,,,TRUE,TRUE,a50dfab7-d570-4af0-be7f-93fe5c15acc71784133956653,6a578fd1cd1f13068c553660,A,2026-07-15 16:49:05.067,2026-07-15 16:49:13.358,2026-07-15 16:59:33.497,1,,1,FALSE,0,TRUE,0,ZRQ,ZRQ
6a4f8475e9d393c87502e4c8,RUH,smart,6891b650464f40084c6496ee,2026-07-10 21:57:31.206,2026-07-10 21:57:31.206,0,0,24.723723,46.674472,24.693007,46.642228,th3hwh,th3hmr,20260710215731206,ecolite,14.52,14.52,0.58,14.52,,0.9,1.26,10,8.869,13.533333333,F1CA09C1-D2E2-4371-992E-39B374BAEFE3,Group A,0.90,0.90,TRUE,TRUE,2026-07-10,15.59,,,TRUE,TRUE,F1CA09C1-D2E2-4371-992E-39B374BAEFE31783720651206,6a5140b9aba5ca1961ba1f26,A,2026-07-10 21:58:01.288,2026-07-10 21:58:13.127,2026-07-10 22:14:08.763,0.9,,0.9,FALSE,0,TRUE,0,RUH,RUH
6a515933d47ee57f31098f5a,RUH,smart,6891b651cd50e239603948e2,2026-07-11 00:08:29.810,2026-07-11 00:08:29.810,0,0,24.563496,46.514813,24.733915,46.650984,th35dr,th3htw,20260711000829810,priority,48.08,48.08,0.58,48.08,,0.9,0,11,34.178,27.5,76A28566-5718-4BED-B247-48D9BA7DBB38,Group A,0.90,0.90,TRUE,TRUE,2026-07-11,51.61,,,TRUE,TRUE,76A28566-5718-4BED-B247-48D9BA7DBB381783728509810,6a515f842c3bad89f2504d8c,A,2026-07-11 00:09:24.979,2026-07-11 00:09:28.528,2026-07-11 00:14:43.402,0.9,,0.9,FALSE,0,TRUE,0,RUH,RUH
6a44dc3ddfedefa63505b857,MEC,jeenyeco,6889e5ece1156148565b12f2,2026-07-01 12:25:37.801,2026-07-01 12:25:37.801,0,1,21.41082,39.792056,21.378958,39.795558,sgu3c3,sgu39e,20260701122537801,UltraEconomy,12.27,12.27,0.58,12.27,,1,0,2,6.773,11.933333333,65efaf6b-63ab-44aa-b96e-d7c8bfdccab8,Group A,0.90,0.90,TRUE,TRUE,2026-07-01,11.86,,,TRUE,TRUE,65efaf6b-63ab-44aa-b96e-d7c8bfdccab81782908737801,6a44ddd694fcb2ed1a0c0625,A,2026-07-01 12:28:54.870,2026-07-01 12:28:58.090,2026-07-01 12:43:15.185,1,,1,FALSE,0,TRUE,0,MEC,MEC
