RIDE_DATE,METRIC_FAMILY,METRIC_NAME,COUNTRY,CITY_BUCKET,RIDES_DENOM,RIDES_FLAGGED,PCT,COMPUTED_AT,AMOUNT_VALUE,AVG_VALUE
2026-08-11,DISCOUNT,no_discount__absorption,SA,Total,1,1,0.00,2026-09-07 09:14:54.546 +0300,,
2026-08-11,DISCOUNT,no_discount__gross_shock,SA,Total,93607,31281,33.42,2026-09-07 09:14:54.546 +0300,129021,4
2026-08-11,DISCOUNT,no_discount__net_shock,SA,Total,93607,31281,33.42,2026-09-07 09:14:54.546 +0300,129021,0
2026-08-11,DISCOUNT,no_discount__ride_share,SA,Total,105001,93607,89.15,2026-09-07 09:14:54.546 +0300,,
2026-08-11,DISCOUNT,pct_bound_total__absorption,SA,Total,1,1,11.01,2026-09-07 09:14:54.546 +0300,,
2026-08-11,DISCOUNT,pct_bound_total__gross_shock,SA,Total,5812,1825,31.40,2026-09-07 09:14:54.546 +0300,7306,4
2026-08-11,DISCOUNT,pct_bound_total__net_shock,SA,Total,5812,1820,31.31,2026-09-07 09:14:54.546 +0300,6501,0
2026-08-11,DISCOUNT,pct_bound_total__ride_share,SA,Total,105001,5812,5.54,2026-09-07 09:14:54.546 +0300,,
2026-08-11,DISCOUNT,promised_not_applied,SA,Total,105001,42,0.04,2026-09-07 09:14:54.546 +0300,,
2026-08-11,DISCOUNT,promoeng_capped__absorption,SA,Total,1,1,-0.01,2026-09-07 09:14:54.546 +0300,,
2026-08-11,DISCOUNT,promoeng_capped__gross_shock,SA,Total,1089,453,41.60,2026-09-07 09:14:54.546 +0300,2252,5
2026-08-11,DISCOUNT,promoeng_capped__net_shock,SA,Total,1089,453,41.60,2026-09-07 09:14:54.546 +0300,2252,0
2026-08-11,DISCOUNT,promoeng_capped__ride_share,SA,Total,105001,1089,1.04,2026-09-07 09:14:54.546 +0300,,
2026-08-11,DISCOUNT,promoeng_pct_bound__absorption,SA,Total,1,1,12.50,2026-09-07 09:14:54.546 +0300,,
2026-08-11,DISCOUNT,promoeng_pct_bound__gross_shock,SA,Total,1477,553,37.44,2026-09-07 09:14:54.546 +0300,2882,5
2026-08-11,DISCOUNT,promoeng_pct_bound__net_shock,SA,Total,1477,547,37.03,2026-09-07 09:14:54.546 +0300,2522,0
2026-08-11,DISCOUNT,promoeng_pct_bound__ride_share,SA,Total,105001,1477,1.41,2026-09-07 09:14:54.546 +0300,,
2026-08-11,DISCOUNT,voucher_capped__absorption,SA,Total,1,1,-0.82,2026-09-07 09:14:54.546 +0300,,
2026-08-11,DISCOUNT,voucher_capped__gross_shock,SA,Total,4430,1593,35.96,2026-09-07 09:14:54.546 +0300,6771,4
2026-08-11,DISCOUNT,voucher_capped__net_shock,SA,Total,4430,1604,36.21,2026-09-07 09:14:54.546 +0300,6827,0
2026-08-11,DISCOUNT,voucher_capped__ride_share,SA,Total,105001,4430,4.22,2026-09-07 09:14:54.546 +0300,,
2026-08-11,DISCOUNT,voucher_pct_bound__absorption,SA,Total,1,1,10.03,2026-09-07 09:14:54.546 +0300,,
2026-08-11,DISCOUNT,voucher_pct_bound__gross_shock,SA,Total,4335,1272,29.34,2026-09-07 09:14:54.546 +0300,4424,3
2026-08-11,DISCOUNT,voucher_pct_bound__net_shock,SA,Total,4335,1273,29.37,2026-09-07 09:14:54.546 +0300,3980,0
2026-08-11,DISCOUNT,voucher_pct_bound__ride_share,SA,Total,105001,4335,4.13,2026-09-07 09:14:54.546 +0300,,
2026-08-11,GATE,gate1_promo_formula,SA,Total,4836,1,100.00,2026-09-07 09:14:54.546 +0300,100,2
2026-08-11,GATE,gate1_voucher_formula,SA,Total,8722,1,99.98,2026-09-07 09:14:54.546 +0300,100,
2026-08-11,GATE,gate2_net_fare_identity,SA,Total,105001,1,100.00,2026-09-07 09:14:54.546 +0300,,
2026-08-11,GATE,gate3_promo_config,SA,Total,2567,1,100.00,2026-09-07 09:14:54.546 +0300,5,2528
2026-08-11,GATE,gate4_priceshocks_reconciliation,SA,Total,105001,1,33.50,2026-09-07 09:14:54.546 +0300,,
2026-08-11,GATE,gate5_segment_direction:promoeng_capped,SA,Total,1089,1,41.60,2026-09-07 09:14:54.546 +0300,42,0
2026-08-11,GATE,gate5_segment_direction:promoeng_pct_bound,SA,Total,1477,1,37.03,2026-09-07 09:14:54.546 +0300,37,0
2026-08-11,GATE,gate5_segment_direction:voucher_capped,SA,Total,4430,1,36.21,2026-09-07 09:14:54.546 +0300,36,0
2026-08-11,GATE,gate5_segment_direction:voucher_pct_bound,SA,Total,4335,1,29.37,2026-09-07 09:14:54.546 +0300,29,0
2026-08-11,SCENARIO,beyondB,SA,DMM,6419,3,0.05,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,beyondB,SA,JED,30919,8,0.03,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,beyondB,SA,MAD,10712,3,0.03,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,beyondB,SA,MEC,5372,2,0.04,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,beyondB,SA,Others,12657,9,0.07,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,beyondB,SA,RUH,38922,9,0.02,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,beyondB,SA,Total,105001,34,0.03,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,withinA_at_dest,SA,DMM,6419,1093,17.03,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,withinA_at_dest,SA,JED,30919,6104,19.74,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,withinA_at_dest,SA,MAD,10712,1864,17.40,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,withinA_at_dest,SA,MEC,5372,1178,21.93,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,withinA_at_dest,SA,Others,12657,2270,17.93,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,withinA_at_dest,SA,RUH,38922,7405,19.03,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,withinA_at_dest,SA,Total,105001,19914,18.97,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,withinA_not_dest,SA,DMM,6419,196,3.05,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,withinA_not_dest,SA,JED,30919,612,1.98,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,withinA_not_dest,SA,MAD,10712,374,3.49,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,withinA_not_dest,SA,MEC,5372,177,3.29,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,withinA_not_dest,SA,Others,12657,471,3.72,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,withinA_not_dest,SA,RUH,38922,924,2.37,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,withinA_not_dest,SA,Total,105001,2754,2.62,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,withinB_at_dest,SA,DMM,6419,633,9.86,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,withinB_at_dest,SA,JED,30919,3408,11.02,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,withinB_at_dest,SA,MAD,10712,900,8.40,2026-09-07 09:14:54.546 +0300,,
2026-08-11,SCENARIO,withinB_at_dest,SA,MEC,5372,553,10.29,2026-09-07 09:14:54.546 +0300,,
