RIDEID,CREATED,RIDEVALUE,VATONRIDEVALUE,SURCHARGE,VATONSURCHARGE,INTERCITYSURCHARGE,VATONINTERCITYSURCHARGE,CANCELLATIONFINE,VATONCANCELLATIONFINE,RIDEHAILINGSURCHARGE,VATONRIDEHAILINGSURCHARGE,SUBTOTAL,DISCOUNT,VATONDISCOUNT,VALUEADDEDTAX,TOTALAMOUNTWITHTAX,CASHTOBECOLLECTED,UNROUNDEDRIDEFINALVALUE,DRIVEREARNINGS,PASSENGERWALLET,VALUECHARGED,TYPERIDE,DATECHARGED,CHARGEBYTAXIMETER,INVOICENUMBER,RECEIPTTIME,PAYMENTTIME,DISTANCE,DURATION,WAITINGCHARGES,VATONWAITINGCHARGES
6a579986cd1f13068c5f5719,2026-07-15 14:30:30.329,17.94,2.69,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,18.92,8.70,1.31,1.53,11.76,11.76,11.76,15.25,0.00,5.66,others,2026-07-15 15:04:46.542,,JNY-AAAAED-883333,2026-07-15 15:01:51.468,2026-07-15 15:02:33.789,11839,1430,0.48,0.07
6a563136c3c2a38be2b6c9de,2026-07-14 12:53:10.621,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.13,1.00,0.00,0.00,1.13,1.13,1.13,1.86,0.00,0.43,others,2026-07-14 13:15:48.905,,JNY-AAAABN-394239,2026-07-14 13:12:40.058,2026-07-14 13:13:57.810,5929,716,0.05,0
6a52c90a2c3bad89f238d0f0,2026-07-11 22:51:54.071,23.57,3.54,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,24.12,6.96,1.04,2.59,19.75,0.00,19.75,21.04,19.75,5.70,others,2026-07-11 23:22:26.488,,JNY-AAAAED-504675,2026-07-11 23:21:35.311,2026-07-11 23:21:37.030,21884,1142,0.05,0.01
6a4e7117326d320dd9f4b852,2026-07-08 15:47:34.776,35.50,5.33,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,38.41,6.96,1.04,4.73,36.18,0.00,36.18,31.24,36.18,11.11,others,2026-07-08 16:36:23.621,,JNY-AAAAED-172184,2026-07-08 16:33:44.128,2026-07-08 16:34:47.261,30035,2356,2.41,0.36
6a4835627ae76b85a3794328,2026-07-03 22:19:14.520,4.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.32,1.00,0.00,0.00,4.32,4.32,4.32,5.01,0.00,0.74,others,2026-07-03 22:50:06.381,,JNY-AAAABM-517999,2026-07-03 22:49:04.077,2026-07-03 22:49:20.295,19250,1319,0.35,0
6a4b455fc5d6742eb773d99f,2026-07-06 06:04:15.058,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.62,0.20,0.00,0.00,1.42,0.42,1.42,1.51,1.00,0.23,others,2026-07-06 06:24:48.297,,JNY-AAAABM-696696,2026-07-06 06:23:52.553,2026-07-06 06:24:06.302,3790,524,0.2,0
6a4a60037ef6256af727aacf,2026-07-05 13:45:39.271,45.29,6.79,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,45.81,6.96,1.04,5.83,44.68,44.68,44.68,37.65,0.00,13.19,others,2026-07-05 14:52:51.932,,JNY-AAAAEC-811859,2026-07-05 14:50:59.365,2026-07-05 14:51:18.717,39924,2933,0.02,0
6a4a88567ef6256af76037e6,2026-07-05 16:37:42.649,9.81,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,10.45,4.18,0.63,0.93,7.21,7.21,7.21,8.85,0.00,2.69,others,2026-07-05 16:57:26.544,,JNY-AAAAEC-828014,2026-07-05 16:56:43.735,2026-07-05 16:56:46.605,4750,574,0.14,0.02
6a4a75e1c5a77f251a7d65a5,2026-07-05 15:18:57.016,22.16,3.32,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,23.27,6.96,1.04,2.45,18.76,18.76,18.76,20.22,0.00,5.51,others,2026-07-05 15:49:03.998,,JNY-AAAAEC-819307,2026-07-05 15:45:51.590,2026-07-05 15:46:04.694,18754,1043,0.61,0.09
6a4d49514407f7fd1e8d5665,2026-07-07 18:45:37.020,43.94,6.59,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,44.96,8.70,1.31,5.44,41.71,0.00,41.71,39.56,41.71,10.28,others,2026-07-07 19:39:43.569,,JNY-AAAAED-080498,2026-07-07 19:39:10.490,2026-07-07 19:39:16.276,37508,2621,0.52,0.08
6a4d518fc5d6742eb741940f,2026-07-07 19:20:47.667,17.51,2.63,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,18.21,6.96,1.04,1.70,12.95,12.95,12.95,15.75,0.00,4.40,others,2026-07-07 19:49:36.334,,JNY-AAAAED-081533,2026-07-07 19:48:24.872,2026-07-07 19:48:55.179,8710,887,0.2,0.03
6a4cdb54c5d6742eb7ad4252,2026-07-07 10:56:20.704,24.10,3.62,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,25.78,6.96,1.04,2.84,21.66,20.66,21.66,20.88,1.00,7.58,others,2026-07-07 11:39:45.869,,JNY-AAAAED-020501,2026-07-07 11:38:16.049,2026-07-07 11:38:21.974,10110,1019,1.18,0.18
6a4ead42b96502554665bd8a,2026-07-08 20:04:17.988,21.83,3.27,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,23.61,6.96,1.04,2.50,19.15,19.15,19.15,19.07,0.00,6.97,others,2026-07-08 20:45:07.835,,JNY-AAAAED-199246,2026-07-08 20:42:43.613,2026-07-08 20:42:53.386,15176,1563,1.28,0.19
6a5169bcaba5ca1961df04ce,2026-07-10 21:53:00.263,37.68,5.65,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,41.05,8.70,1.31,4.85,37.21,37.21,37.21,33.39,0.00,11.85,others,2026-07-10 22:47:33.938,,JNY-AAAAED-412275,2026-07-10 22:46:16.429,2026-07-10 22:47:19.188,41479,1989,2.87,0.43
6a528812aba5ca1961901ef2,2026-07-11 18:14:41.946,7.77,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,9.17,4.59,0.69,0.70,5.28,0.00,5.28,7.62,5.28,2.41,others,2026-07-11 18:29:08.990,,JNY-AAAAED-481984,2026-07-11 18:28:35.074,2026-07-11 18:28:37.055,3523,481,0.9,0.14
6a580c53c3c2a38be2c5fff8,2026-07-15 22:40:19.374,31.80,4.77,3.18,0.48,0.00,0.00,0.00,0.00,0.50,0.08,35.74,8.70,1.31,4.05,31.11,31.11,31.11,31.02,0.00,8.25,others,2026-07-15 23:27:26.194,,JNY-AAAAED-930195,2026-07-15 23:22:36.815,2026-07-15 23:27:05.838,30274,1756,0.26,0.04
6a575a12cd1f13068c2c9a64,2026-07-15 09:59:46.006,12.72,1.91,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,14.99,7.50,1.13,1.13,8.62,8.62,8.62,11.84,0.00,4.56,others,2026-07-15 10:22:45.453,,JNY-AAAAED-855318,2026-07-15 10:21:53.954,2026-07-15 10:22:27.989,6768,772,1.77,0.27
6a5658e0c3c2a38be2db104a,2026-07-14 15:42:24.633,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.56,0.00,0.00,0.55,0.55,0.55,0.97,0.00,0.22,others,2026-07-14 15:57:07.626,,JNY-AAAABN-410594,2026-07-14 15:55:40.803,2026-07-14 15:55:53.190,1558,358,0.03,0
6a4a55317ef6256af718be0d,2026-07-05 12:59:29.402,36.85,5.53,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,41.00,8.70,1.31,4.85,37.16,37.16,37.16,33.25,0.00,11.84,others,2026-07-05 14:30:53.913,,JNY-AAAAEC-808456,2026-07-05 14:24:13.731,2026-07-05 14:26:33.425,27733,3315,3.65,0.55
6a4e7257326d320dd9f65edd,2026-07-08 15:52:55.531,7.96,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,9.44,3.78,0.57,0.85,6.51,0.00,6.51,7.32,6.51,3.00,others,2026-07-08 16:12:20.073,,JNY-AAAAED-169339,2026-07-08 16:10:45.531,2026-07-08 16:10:47.651,3558,409,0.98,0.15
6a57f135c7a9562f6fb850c4,2026-07-15 20:44:37.772,7.77,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.08,9.40,4.70,0.71,0.71,5.41,5.41,5.41,7.27,0.00,2.99,others,2026-07-15 21:00:26.924,,JNY-AAAAED-922107,2026-07-15 20:59:18.331,2026-07-15 20:59:24.934,1640,189,1.13,0.17
