RIDEID,CREATED,UPFRONTSCENARIO,DROPOFFATDESTINATION,FINALRIDEFARE,RECALCULATEDDISTANCE,RECALCULATEDTIME,RECALCULATEDFARE,UPFRONTENABLED,APPLIEDESTIMATETIME,APPLIEDESTIMATEDISTANCE,APPLIEDESTIMATEFARE,TAXIMETERTIME,TAXIMETERDISTANCE,TAXIMETERFARE,ORIGINALESTIMATETIME,ORIGINALESTIMATEDISTANCE,ORIGINALESTIMATEFARE,CHARGINGDISTANCESOURCE,CHARGINGDISTANCE,CHARGINGTIMESOURCE,CHARGINGTIME,ADDITIONALTIMECOMP,TAXIMETERFORMULA,TAXIMETERCASE,CHARGINGFARE,ADDITIONALTIMEVALUE,TAXIMETERSTATE,FACTORFORADDITIONALTIME,SPEEDPARAMETERX,MAXSPEED,ESTIMATEDSPEED,ACTUALSPEED,ACTUALTIME,SCALEDDISTANCE,TIMETHRESHHOLDSALOWPERCENTAGE,TIMETHRESHHOLDSAHIGHPERCENTAGE,TIMETHRESHHOLDSALOWVALUE,TIMETHRESHHOLDSAHIGHVALUE,TIMETHRESHHOLDSBLOWPERCENTAGE,TIMETHRESHHOLDSBHIGHPERCENTAGE,TIMETHRESHHOLDSBLOWVALUE,TIMETHRESHHOLDSBHIGHVALUE,KALMANDISTANCE,APPLIEDFIXEDTIMETHRESHOLDAPPLIED,APPLIEDFIXEDTIMETHRESHOLDVALUE,FIXEDSPEEDCAP,MAXWITHINMINUTESVARIANCE
6a563136c3c2a38be2b6c9de,2026-07-14 15:53:10.621,withinA,true,2.08,5.929,11.933333333,2.08,True,11.933333,5.929,2.08,12.833333333,6.48244,2.49,11.933333333,5.929,2.08,applied_estimate,5.929,applied_estimate,11.933333333,0,"max(1.2,0.94*(0.468+(0*durationInMinute)+(0.336*distanceInKm)))",applied_estimate,2.08,0,withinA,0.07,30,120,29.8104,30.30753,12.833333333,0.00,100,22,0,873,0,999999,716,7160708,0,FALSE,0,27,3
6a575a12cd1f13068c2c9a64,2026-07-15 12:59:46.006,withinA,true,14.63,6.768,12.866666667,14.63,True,12.866667,6.768,14.63,11.216666667,6.61721,15.63,12.866666667,6.768,14.63,applied_estimate,6.768,applied_estimate,12.866666667,0,"max(8.63,(1.1431*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,14.63,0,withinA,0.675,30,120,31.5606,35.39669,11.216666667,0.00,100,22,0,941,0,999999,772,7720764,0,FALSE,0,41,3
6a4940cbc5a77f251a91948e,2026-07-04 20:20:11.918,withinA,true,18.4,11.561,20.866666667,18.4,True,20.866667,11.561,18.4,21.65,10.08862,19.23,20.866666667,11.561,18.4,applied_estimate,11.561,applied_estimate,20.866666667,0,"max(8.63,(1.0934*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,18.4,0,withinA,0.675,30,120,33.2424,27.95922,21.65,0.00,100,22,0,1527,0,999999,1252,12521239,0,FALSE,0,41,3
6a4cdbc7c5d6742eb7adacc1,2026-07-07 13:58:15.199,withinA,true,67.54,50.294,51.766666667,67.54,True,51.766667,50.294,67.54,59.65,52.53573,79.69,51.766666667,50.294,67.54,applied_estimate,50.294,applied_estimate,51.766666667,0,"max(8.63,(1.1431*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,67.54,0,withinA,0.675,30,120,58.293,52.84399,59.65,0.00,100,22,0,3789,0,999999,3106,31063074,0,FALSE,0,41,3
6a48213d7ae76b85a3685f73,2026-07-03 23:53:17.743,withinA,true,22.28,14.921,25.533333333,22.28,True,25.533333,14.921,22.28,24.416666667,14.67222,24.24,25.533333333,14.921,22.28,applied_estimate,14.921,applied_estimate,25.533333333,0,"max(8.63,(1.0934*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,22.28,0,withinA,0.675,30,120,35.0622,36.05461,24.416666667,0.00,100,22,0,1869,0,999999,1532,15321516,0,FALSE,0,41,3
6a4a61c2c5a77f251a5f1a09,2026-07-05 16:53:06.953,withinA,false,21.86,14.153,19.95,21.86,True,19.95,14.153,21.86,17.316666667,14.02415,23.4,21.516666667,15.852,23.77,applied_estimate,14.153,applied_estimate,19.95,0,"max(8.63,(1.0534*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,21.86,0,withinA,0.675,30,120,42.5652,48.59187,17.316666667,0.00,100,22,0,1460,0,999999,1197,11971185,0,FALSE,0,41,3
6a4f8a5cb0e119efe83870b3,2026-07-09 14:47:40.188,withinA,true,4.2,13.091,22.716666667,4.2,True,22.716667,13.091,4.2,22.083333333,13.70199,4.87,22.716666667,13.091,4.2,applied_estimate,13.091,applied_estimate,22.716666667,0,"max(1.5,0.96*(0.468+(0*durationInMinute)+(0.336*distanceInKm)))",applied_estimate,4.2,0,withinA,0.071,30,120,34.5762,37.22806,22.083333333,0.00,100,22,0,1662,0,999999,1363,13631349,0,FALSE,0,30,3
6a501cf1b0e119efe8f45015,2026-07-10 01:13:04.109,withinB,true,55.53,34.915819195,29.316666667,55.53,True,29.316667,33.091,35.12,59.516666667,34.91582,47.12,29.316666667,33.091,35.12,taximeter_distance,34.915819195,applied_estimate,29.316666667,30.2,"max(8.63,(0.994*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",speed_in_limit,55.53,20.39,withinB,0.675,30,120,67.7244,35.19937,59.516666667,0.00,100,22,0,2145,0,999999,1759,17591741,0,FALSE,0,41,3
6a490992c5a77f251a4db327,2026-07-04 16:24:34.366,withinA,true,29.7,23.074,32.966666667,29.7,True,32.966667,23.074,29.7,29.533333333,20.89296,30.22,32.966666667,23.074,29.7,applied_estimate,23.074,applied_estimate,32.966666667,0,"max(8.63,(1.0534*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,29.7,0,withinA,0.675,30,120,41.9952,42.44619,29.533333333,0.00,100,22,0,2413,0,999999,1978,19781958,0,FALSE,0,41,3
6a491cea7ef6256af72d454b,2026-07-04 17:47:05.579,withinA,false,44.85,38.232,45.8,44.85,True,45.8,38.232,44.85,40.216666667,37.97588,48.27,47.8,38.335,45.34,applied_estimate,38.232,applied_estimate,45.8,0,"max(8.63,(1.0534*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,44.85,0,withinA,0.675,30,120,50.0856,56.65693,40.216666667,0.00,100,22,0,3352,0,999999,2748,27482720,0,FALSE,0,41,3
